Iteration:,AeroBalance Mean Monitor: Statistics of Aerodynamic Balance Monitor,Mean HE-Massflow Monitor: Statistics of HE-Massflow Monitor (kg/s)
1,0.389689081388477,0.363017325167072
2,0.379003783252356,0.422592198627157
3,0.360245599093004,0.439363238098415
4,0.351832911776299,0.44651589032217
5,0.385174871552808,0.441726423555553
6,0.409484301579946,0.431560974236478
7,0.424550720571095,0.420647631153004
8,0.434514869031601,0.409641741708203
9,0.43517846358288,0.400179873900103
10,0.434556203112591,0.392039272712295
11,0.429453783205395,0.385435031126024
12,0.425008093993411,0.379966655450051
13,0.421384472951853,0.375049699389671
14,0.418418281376601,0.370581158739763
15,0.416326520301065,0.366337196541638
16,0.415367914498871,0.362136581895243
17,0.414624054550075,0.357960596136507
18,0.41426371892008,0.353848414862674
19,0.414169628021636,0.349838084540254
20,0.414280870903637,0.345958852764139
21,0.414484358976136,0.342214668438194
22,0.414794844970044,0.338644073713572
23,0.415141711582955,0.335235459389586
24,0.41550844730527,0.331990720516357
25,0.415919895589098,0.328905255170899
26,0.416446586326593,0.325970903636721
27,0.416946211721968,0.323176464557461
28,0.41740849514939,0.320510295803389
29,0.417834179290053,0.317963079564979
30,0.418224614600127,0.31552367902007
31,0.418583026676022,0.313182029397127
32,0.418912702625551,0.31092905637795
33,0.419218087359789,0.308757080608794
34,0.419507169318011,0.306660777277869
35,0.419788181951664,0.304636372417774
36,0.420065641338442,0.302681272085967
37,0.420340044661139,0.30079365561488
38,0.4206223794711,0.298972023699266
39,0.420853626381085,0.297215425755935
40,0.421085120469597,0.295523128701642
41,0.421322505652315,0.293893021265497
42,0.421572555482568,0.292322964035351
43,0.421839381505615,0.29080973441862
44,0.422125147019942,0.289350125683045
45,0.422434106236237,0.287940314532435
46,0.422765082424305,0.286576412014629
47,0.423118023398265,0.285254567155031
48,0.423517077901689,0.283970866803715
49,0.42391603987432,0.282721787431672
50,0.42431345222345,0.281503632373493
51,0.424703682708392,0.280313585792078
52,0.425084331853321,0.279149329984301
53,0.425452798950207,0.278008559251522
54,0.425805312519494,0.276890013560342
55,0.426139304751989,0.275793140058345
56,0.42645510943991,0.27471729892893
57,0.426750695931791,0.273661737960693
58,0.427026855982572,0.272626186490594
59,0.427283702504333,0.271610594154209
60,0.427523166335045,0.270615184607
61,0.427746540927583,0.269640000919055
62,0.42795573072038,0.26868508547049
63,0.428153920260745,0.267750305850939
64,0.428344733300219,0.26683550482373
65,0.428532591502125,0.265940480711336
66,0.428720748374922,0.265064785999756
67,0.42891313367409,0.264207823276741
68,0.429113435360914,0.263369130154496
69,0.429323865634141,0.262548241529573
70,0.42954710679338,0.261745005893957
71,0.429784421801929,0.260959357593716
72,0.430036335356487,0.26019159866319
73,0.430301994481506,0.259442391399572
74,0.430579072888416,0.258712588549718
75,0.430865063608777,0.258003278596871
76,0.431157410872573,0.257315412195271
77,0.431421114487653,0.256649685538345
78,0.431675199100862,0.256006746376272
79,0.431917178170178,0.255386479214995
80,0.432145025122542,0.254788442089941
81,0.432359354694405,0.254211832705361
82,0.432561560273722,0.253655455048291
83,0.432752836813432,0.253117758010082
84,0.4329343878793,0.25259703009481
85,0.433108492284524,0.252091616853579
86,0.433275036102149,0.251600068855547
87,0.433435975793133,0.251121267660817
88,0.433591519223025,0.250654386270933
89,0.433741619178459,0.250198916375617
90,0.433886708348856,0.249754581282201
91,0.434026451155001,0.24932147229901
92,0.434160320414327,0.248899944682157
93,0.434292293567644,0.248490250430472
94,0.434422032789474,0.248092663904813
95,0.434548973111677,0.247707291146032
96,0.434673299423817,0.247334134356639
97,0.434793982999456,0.246972980966666
98,0.434910913589914,0.246623305383118
99,0.435023733434536,0.246284407418202
100,0.435132204460176,0.245955579576652
101,0.435236266537121,0.245636094059162
102,0.435336318143522,0.245325340271484
103,0.435432450252212,0.245022797023283
104,0.435524278042327,0.244728163854462
105,0.435612186423955,0.244441357660128
106,0.435695478561201,0.244162415696868
107,0.435774203532919,0.243891503500196
108,0.435848127244543,0.243628765155197
109,0.435915591399023,0.243374472635396
110,0.435978669435476,0.243128514957409
111,0.436036805493335,0.242890670634595
112,0.436088503629521,0.24266071555382
