"Iteration: Iteration","D B Mean Monitor: Statistics of D B Monitor (N)","D D Mean Monitor: Statistics of D D Monitor (N)","D FW Mean Monitor: Statistics of D FW Monitor (N)","D RW Mean Monitor: Statistics of D RW Monitor (N)","D S Mean Monitor: Statistics of D S Monitor (N)","D SU Mean Monitor: Statistics of D SU Monitor (N)","D Wheels Front Mean Monitor: Statistics of D Wheels Front Monitor (N)","D Wheels Rear Mean Monitor: Statistics of D Wheels Rear Monitor (N)","Mean D Monitor: Statistics of Drag Monitor (N)"
20,137.796813467032,21.6824052900812,32.7283468261299,102.239038700064,77.642039699749,24.247151772617,43.0527459023352,40.066199832885,479.454741490893
21,132.671417989075,20.9142543830676,31.7390896801485,99.0909508106787,74.9615356871969,23.1708159250381,41.240999302064,38.1715375272142,461.960601304483
22,127.93853592429,20.1959730969377,30.8395130085191,96.2096668836853,72.4650342969751,22.1957778924428,39.5946997524276,36.4553386741794,445.894539529457
23,123.581196052049,19.5270898959797,30.0158304438268,93.5685337768833,70.1531239687891,21.3084739495926,38.0924440357131,34.893797297597,431.140489420431
24,119.56162526588,18.9016473736152,29.2569127449934,91.1393855525366,68.0041759895469,20.4980687321833,36.7148072765462,33.4677913320698,417.544414267371
25,115.847000359688,18.3140228554729,28.5538849401924,88.898180129156,65.9996503748012,19.754799797233,35.4458578771884,32.1608802386302,404.974276572363
26,112.409640123396,17.7601248450161,27.8991378971895,86.8251587567668,64.126177038933,19.070533779874,34.2736099950569,30.9582966106877,393.32267904692
27,109.228249718713,17.2374318448516,27.2866653468534,84.9030610027872,62.375034527986,18.437597721983,33.1871573472269,29.8473570027412,382.502554513143
28,106.281160574115,16.7438096548794,26.7119701138058,83.1158521261479,60.7360053664704,17.8496042495456,32.1771244545874,28.8174280366336,372.432954576185
29,103.548483973127,16.2768837707564,26.1712395577564,81.4496507911276,59.1996433563496,17.3011800035168,31.2357444275304,27.8585309884439,363.041356868608
30,101.012303739602,15.8353096566216,25.6613684592993,79.8920804204481,57.75959553741,16.787622199051,30.3564235188665,26.9627323785883,354.267435909887
31,98.6557339272839,15.4175981196657,25.1801945685652,78.4323540729812,56.4091231505859,16.304824086555,29.5330783461724,26.123513439502,346.056419711311
32,96.4619310254904,15.0226890540377,24.725868985759,77.0618108687628,55.1417244119181,15.8494227004012,28.760142986934,25.3351177399629,338.358707773266
33,94.4164963047729,14.6493178257839,24.2968475471581,75.7732230781109,53.9512823352834,15.4188452106135,28.0323642063678,24.5926219479594,331.13099845605
34,92.5036349482596,14.2964833650087,23.8919961768906,74.5590971608581,52.8318640870112,15.0109548874662,27.3451967907665,23.8914807266475,324.330708142908
35,90.7094685196271,13.9628561494668,23.5101008796869,73.4133016093886,51.7779997256754,14.6241221380274,26.6949448663992,23.2276257147817,317.920419603053
36,89.0220594687687,13.6474572377088,23.1499880014875,72.3304494090029,50.7838422765532,14.2573447123469,26.077927798456,22.5973743533523,311.866443257676
37,87.4290269707184,13.3489196814179,22.81016635326,71.3056745945965,49.8439609523767,13.9098251798555,25.4916166149016,21.9985929628174,306.137783309944
38,85.9254607651687,13.0659273824732,22.4897953976272,70.3343396163439,48.9536374653929,13.5810076892053,24.9317518246664,21.4267915110055,300.708711651883
39,84.5017192506467,12.7971000162563,22.187293220189,69.4123472378178,48.1082324721438,13.2696304785165,24.3979395228607,20.8821099577574,295.556372156188
40,83.1527864797157,12.5413612922694,21.9019318614255,68.535686349111,47.303366213712,12.9751022891427,23.8867588501194,20.3621967319194,290.659190067415
41,81.8725063825093,12.2975416211697,21.6319248878573,67.7012639388249,46.5365821016469,12.6956384603683,23.397719800277,19.8667970050674,285.999974197721
42,80.6558621942357,12.0647685750519,21.3758355350826,66.9058609564746,45.8046808197227,12.4305120988657,22.9289469225687,19.3942614144874,281.560728516489
43,79.4983763814532,11.8421650745651,21.1323476885505,66.1468479427801,45.1044147380835,12.1783256176217,22.4789671910129,18.943596602779,277.325041236846
44,78.3937333040322,11.6290782150121,20.9002317487665,65.4223702763389,44.4331771994961,11.937899193599,22.0467706755027,18.5138247657384,273.277085378486
45,77.3366884086062,11.424638759829,20.6782905675052,64.7302985675568,43.7888208689109,11.7080217741708,21.6313972234682,18.1041387015967,269.402294871644
46,76.323922793098,11.2282708133497,20.4654173913722,64.0694531466187,43.1692390552356,11.4877845388772,21.2318277789888,17.7136718621187,265.689587379659
47,75.3530534036809,11.0393918421749,20.2604784836702,63.438354432635,42.5726689912801,11.2763600198781,20.8476138794017,17.3420020260674,262.129923078788
48,74.4214788027252,10.8575836610295,20.0624390920699,62.8356887359968,41.9971461832383,11.0729458574316,20.4782786797626,16.9885821961435,258.714143208397
49,73.5278141566813,10.6827653531304,19.8703347872052,62.2603848799127,41.4407099170902,10.8767759178318,20.1233301318055,16.6530901161179,255.435205259775
50,72.6705763352867,10.5145670309445,19.6832912960636,61.7110653070324,40.9026013653314,10.687325721401,19.7826377405454,16.3349431287399,252.287007925345
51,71.8480810339419,10.3528792661944,19.5005546121815,61.186307300506,40.3817625330288,10.5042250982274,19.4560411309116,16.0336688511764,249.263519826168
52,71.0587400895966,10.197352528192,19.321530464218,60.6846721283938,39.8774805162625,10.3273309653739,19.1433620254341,15.7486383950874,246.359107112558
53,70.3007182504751,10.0479742992852,19.1457713097271,60.2045159590741,39.3894092229432,10.1564915800907,18.8446022970651,15.4783822655982,243.567865184259
54,69.5724319052833,9.90471783327153,18.9729827675413,59.7440829126489,38.9167547651584,9.99170749264317,18.5594609565246,15.2221699681666,240.884308601238
55,68.8718471873189,9.76742903537201,18.8030469804021,59.301762911521,38.4581587725456,9.83289232790956,18.2876240910954,14.9791077037083,238.301869009873
56,68.1965564344537,9.63593819547224,18.6359547244242,58.8757091380392,38.0135237188433,9.67998236026919,18.0282953223331,14.7488034210529,235.814763314888
57,67.5450106090824,9.51011682222887,18.4717811547817,58.4645269234439,37.5821663153806,9.53309092461,17.7804977107093,14.5305830213134,233.41777348155
58,66.91568225205,9.38954919882258,18.3107540454611,58.0670166499629,37.1634172761392,9.39236994095088,17.543402444722,14.3237749671929,231.105966775301
59,66.3069633173308,9.27402663100958,18.1532245866706,57.6819793322834,36.7566509903053,9.2579025833657,17.3160939777518,14.1276942175629,228.87453563628
60,65.7175802894543,9.16303392109624,17.9994494297178,57.3084180881816,36.3614129695716,9.12975717913617,17.0975697988333,13.9410965841568,226.718318260148
61,65.1459335142556,9.05619530329247,17.8497796762388,56.9458564484944,35.9773210965088,9.00794857915285,16.8867976110099,13.7631347914302,224.632967020383
62,64.5915587136546,8.95311903016104,17.7044333553915,56.5935840986955,35.6042309025803,8.89217023638955,16.683036518827,13.5927875532602,222.61492040896
63,64.0540543911815,8.85319308620149,17.5636000720343,56.2511107880987,35.2417059628176,8.78205146361726,16.4853521298164,13.4290366658777,220.660104559645
64,63.532789442715,8.75603573895047,17.4274525329112,55.9179844198766,34.8893852128254,8.67707500268965,16.2930564286415,13.271174822099,218.764953600709
65,63.0274025722821,8.66127561783163,17.2960781365709,55.5938064750343,34.5469214726667,8.57668335365165,16.1055537385527,13.1184920932928,216.926213459883
